Date;Service;Departure station;Arrival station;Average journey time;Number of scheduled trains;Number of cancelled trains;Cancellation comments;Number of trains delayed at departure;Average delay of late trains at departure;Average delay of all trains at departure;Departure delay comments;Number of trains delayed at arrival;Average delay of late trains at arrival;Average delay of all trains at arrival;Arrival delay comments;Number of trains delayed > 15min;Average delay of trains > 15min (if competing with flights);Number of trains delayed > 30min;Number of trains delayed > 60min;Pct delay due to external causes;Pct delay due to infrastructure;Pct delay due to traffic management;Pct delay due to rolling stock;Pct delay due to station management and equipment reuse;Pct delay due to passenger handling (crowding, disabled persons, connections)
2018-01;National;BORDEAUX ST JEAN;PARIS MONTPARNASSE;141.0;;5.0;;289.0;11.24780854;3.693179191;;147.0;28.43673469;6.511117534;;110.0;346.474286689822;44.0;8.0;36.13445378;31.09243697;10.92436975;15.96638655;5.042016807;75.9157297055427
2018-01;National;LA ROCHELLE VILLE;PARIS MONTPARNASSE;165.0;222.0;;;8.0;2.875;0.095795796;;34.0;21.52401961;5.696096096;;22.0;5.696096096;5.0;;15.38461538;30.76923077;38.46153846;11.53846154;3.846153846;0.0
2018-01;National;PARIS MONTPARNASSE;QUIMPER;220.0;248.0;1.0;;37.0;9.501351351;;;;55.69230769;7.578947368;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";26.0;7.548387097;17.0;7.0;26.92307692;38.46153846;;19.23076923;0.0;0.0
2018-01;National;PARIS MONTPARNASSE;ST MALO;156.0;102.0;0.0;;12.0;19.9125;1.966666667;;13.0;48.62307692;6.790686275;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";8.0;6.724757282;6.0;4.0;23.07692308;218.650887878579;7.692307692;15.38461538;7.692307692;
2018-01;National;PARIS MONTPARNASSE;ST PIERRE DES CORPS;61.0;391.0;2.0;;61.0;;0.88688946;;71.0;12.40516432;3.346486718;;17.0;3.346486718;6.0;0.0;21.21212121;42.42424242;9.090909091;21.21212121;6.060606061;0.0
2018-01;National;QUIMPER;PARIS MONTPARNASSE;223.0;256.0;1.0;;;16.33333333;0.579477124;;21.0;39.0952381;5.940849673;;21.0;5.917643229;9.0;;27.77777778;55.55555556;;5.555555556;5.555555556;75.9157297055427
2018-01;National;;LYON PART DIEU;1702.59380097879;99.0;0.0;;23.0;3.0;;;;40.05833333;2.244612795;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";6.0;2.244612795;2.0;1.0;0.0;50.0;25.0;25.0;0.0;0.0
2018-01;National;ST PIERRE DES CORPS;PARIS MONTPARNASSE;61.0;2681.20615823817;1.0;;173.0;;2.954808476;;114.0;13.04561404;4.359739201;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";26.0;4.359739201;9.0;0.0;22.72727273;45.45454545;16.66666667;12.12121212;;1.515151515
2018-01;National;TOURS;PARIS MONTPARNASSE;75.0;194.0;0.0;;;5.727777778;0.333075601;;35.0;11.13142857;2.929295533;;;2.929295533;1.0;0.0;25.0;56.25;6.25;12.5;0.0;0.0
2018-01;National;NANTES;STRASBOURG;303.0;39.0;0.0;;22.0;2.835606061;1.664957265;;5.0;32.98666667;5.741025641;;;5.741025641;124.671696574225;1.0;0.0;;33.33333333;33.33333333;0.0;
2018-01;National;PARIS EST;STRASBOURG;112.0;2681.20615823817;9.0;;;6.267006803;0.576323024;;14.0;27.3;0.77814433;;11.0;0.77814433;;1.0;25.0;8.333333333;8.333333333;50.0;8.333333333;
2018-01;National;STRASBOURG;;112.0;507.0;7.0;;239.0;7.218828452;3.5573;;46.0;24.83876812;2.675233333;;34.0;346.474286689822;11.0;1.0;35.8974359;12.82051282;17.94871795;;5.128205128;
2018-01;National;DUNKERQUE;PARIS NORD;116.0;245.0;1.0;;14.0;8.928571429;;;28.0;28.92559524;4.737363388;;19.0;4.737363388;8.0;2.0;;26.08695652;26.08695652;17.39130435;4.347826087;0.0
2018-01;National;LILLE;LYON PART DIEU;190.0;292.0;8.0;;122.0;10.04112022;4.375234742;;36.0;56.1587963;7.582805164;;31.0;346.474286689822;22.0;13.0;40.0;30.0;5.0;20.0;5.0;0.0
